Nama,Berat,Dimensi,Garansi,VGA,Tipe Penyimpanan,Processor,Penyimpanan,Ukuran Layar,Warna,RAM,Keyboard,Microsoft Office,Sistem Operasi,Brand,Tipe Layar,Harga
RAZER BLADE ADVANCE 18 INTEL I9 13950HX 64GB DDR5 2TB SSD RTX4090-16GB 18.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX4090,SSD,Intel Core i9,2TB,18 Inch,Black,16GB,,,Windows 11 Home,Razer,Non Touchscreen,Rp94.799.000
RAZER BLADE ADVANCE 18 INTEL I9 13950HX 32GB DDR5 2TB SSD RTX4090-16GB 18.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX4090,SSD,Intel Core i9,2TB,18 Inch,Black,16GB,,,Windows 11 Home,Razer,Non Touchscreen,Rp84.899.000
RAZER BLADE ADVANCE 16 INTEL I9 13950HX 32GB DDR5 2TB SSD RTX4090-16GB 16.0 MINILED DUALMODE UHD+ 120HZ FHD+ 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX4090,SSD,Intel Core i9,2TB,16 Inch,Black,16GB,,,Windows 11 Home,Razer,Non Touchscreen,Rp66.999.000
RAZER BLADE ADVANCE 16 INTEL I9 13950HX 32GB DDR5 1TB SSD RTX4080-16GB 16.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX4080,SSD,Intel Core i9,1TB,16 Inch,Black,16GB,,,Windows 11 Home,Razer,Non Touchscreen,Rp66.999.000
RAZER BLADE ADVANCE 16 INTEL I9 13950HX 16GB DDR5 1TB SSD RTX4070-8GB 16.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX4070,SSD,Intel Core i9,1TB,16 Inch,Black,8GB,,,Windows 11 Home,Razer,Non Touchscreen,Rp51.999.000
RAZER BLADE ADVANCE 15 INTEL I7 13800H 16GB DDR5 1TB SSD RTX4070TI-8GB 15.6 QHD 240HZ 100DCIP3 PKRGB WIN11HOME,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX4070TI,SSD,Intel Core i7,1TB,16 Inch,Black,8GB,,,Windows 11 Home,Razer,Non Touchscreen,Rp51.999.000
RAZER BLADE ADVANCE 15 INTEL I7 12800H 32GB DDR5 1TB SSD RTX3080TI-16GB 15.6 QHD 240HZ RGB WIN11HOME,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX3080TI,SSD,Intel Core i7,1TB,16 Inch,Black,16GB,,,Windows 11 Home,Razer,Non Touchscreen,Rp53.999.000
RAZER BLADE ADVANCE 15 INTEL I7 12800H 16GB DDR5 1TB SSD RTX3070TI-8GB 15.6 QHD 240HZ RGB WIN11HOME,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX3070TI,SSD,Intel Core i7,1TB,16 Inch,Black,8GB,,,Windows 11 Home,Razer,Non Touchscreen,Rp42.499.000
RAZER BLADE 14 AMD RYZEN 9 6900HX 16GB DDR5 1TB SSD RTX3080TI-16GB 14.0 QHD 165HZ RGB WIN11HOME QUARTZ,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX3080TI,SSD,AMD Ryzen 9,1TB,14 Inch,Pink,16GB,,,Windows 11 Home,Razer,Non Touchscreen,Rp42.299.000
RAZER BLADE 14 AMD RYZEN 9 6900HX 16GB DDR5 1TB SSD RTX3070TI-8GB 14.0 QHD 165HZ RGB WIN11HOME QUARTZ,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX3070TI,SSD,AMD Ryzen 9,1TB,14 Inch,Pink,8GB,,,Windows 11 Home,Razer,Non Touchscreen,Rp37.999.000
